Name,Wonderlic Score,SB MVP(s),MVP(s),Pro Bowl MVP(s),OPOY,Passing Yards,Seasons Played,Success
Matt Leinart,35,0,0,0,0,0,0,0.0
Christian Ponder,35,0,0,0,0,6658,4,5.826
Zak Kustok,35,0,0,0,0,0,0,0.0
Kellen Clemens,35,0,0,0,0,0,0,0.0
Ryan lindley,35,0,0,0,0,0,0,0.0
Travis Brown,35,0,0,0,0,0,0,0.0
John Dutton,35,0,0,0,0,0,0,0.0
Steve From,35,0,0,0,0,0,0,0.0
Drew Stanton,35,0,0,0,0,0,0,0.0
Jake Fromm,35,0,0,0,0,0,0,0.0
JT O Sullivan,35,0,0,0,0,0,0,0.0
Jared Goff,36,0,0,0,0,14219,4,12.442
Justin Holland,36,0,0,0,0,0,0,0.0
Sam Bradford,36,0,0,0,1,19449,9,7.714
Jason Garrett,36,0,0,0,0,0,0,0.0
Anthony Dilweg,36,0,0,0,0,0,0,0.0
Jared Zabransky,36,0,0,0,0,0,0,0.0
Drew Bledsoe,36,0,0,0,0,44611,14,11.153
Chuck Hartlieb,37,0,0,0,0,0,0,0.0
Marques Hagans,37,0,0,0,0,0,0,0.0
Travis Lulay,37,0,0,0,0,0,0,0.0
Andrew Luck,37,0,0,0,0,23671,7,11.836
Tony Romo,37,0,0,0,0,34183,13,9.203
Josh Allen,37,0,0,0,0,0,0,0.0
Matthew Stafford,38,0,0,1,0,41025,11,13.453
Colin Kaepernick,38,0,0,0,0,12271,6,7.158
Matt Flynn,38,0,0,0,0,0,0,0.0
Omar Jacobs,38,0,0,0,0,0,0,0.0
Craig Crenzel,38,0,0,0,0,0,0,0.0
Scott Frost,38,0,0,0,0,0,0,0.0
Kevin Hogan,38,0,0,0,0,0,0,0.0
Scott Tolzien,38,0,0,0,0,0,0,0.0
Charlie Frye,38,0,0,0,0,0,0,0.0
Brian Griese,39,0,0,0,0,19440,11,6.185
Todd Husak,39,0,0,0,0,0,0,0.0
Eli Manning,39,2,0,0,0,57023,16,15.074
Carson Wentz,40,0,0,0,0,14191,4,12.417
Darrell Hackney,40,0,0,0,0,0,0,0.0
Alex Smith,40,0,0,0,0,34068,14,8.517
Sean Mannion,40,0,0,0,0,0,0,0.0
Nate Stanley,40,0,0,0,0,0,0,0.0
Jeff Matthews,40,0,0,0,0,0,0,0.0
Hugh Millen,41,0,0,0,0,6440,9,2.504
Bruce Eugene,41,0,0,0,0,0,0,0.0
Ryan Nassib,41,0,0,0,0,0,0,0.0
Drew Henson,42,0,0,0,0,0,0,0.0
Blaine Gabbert,42,0,0,0,0,9063,8,3.965
Jason Maas,43,0,0,0,0,0,0,0.0
Greg McElroy,48,0,0,0,0,0,0,0.0
Ryan Fitzpatrick,48,0,0,0,0,32886,15,7.673
